my_transaction_;[libstdc++.so.6.0.28] 2
my_transaction_;[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown] 1
my_transaction_;[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown] 2
my_transaction_;[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];__free_tcb 1
my_transaction_;[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];__clone;[unknown];[unknown] 1
my_transaction_;[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];__clone;[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown] 7
my_transaction_;[unknown];[unknown];_IO_str_init_static_internal 2
my_transaction_;[unknown];[unknown];__clone;[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown];[unknown] 1
my_transaction_;[unknown];[unknown];__vsnprintf_internal 3
my_transaction_;[unknown];[unknown];__vsnprintf_internal;[libc-2.31.so] 1
my_transaction_;[unknown];[unknown];__vsnprintf_internal;_IO_default_xsputn 5
my_transaction_;[unknown];[unknown];__vsnprintf_internal;__strchrnul_avx2 4
my_transaction_;[unknown];[unknown];__vsnprintf_internal;__vfprintf_internal 21
my_transaction_;[unknown];[unknown];__vsnprintf_internal;_itoa_word 7
my_transaction_;[unknown];[unknown];_int_free 4
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;_int_free 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;cfree@GLIBC_2.2.5 4
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::PessimisticTransaction::~PessimisticTransaction 11
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::PessimisticTransaction::~PessimisticTransaction;operator delete 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::PessimisticTransaction::~PessimisticTransaction;rocksdb::PointLockManager::UnLock 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::PessimisticTransaction::~PessimisticTransaction;rocksdb::PointLockTracker::GetColumnFamilyIterator 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::PointLockManager::UnLock 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::SetSnapshotInternal 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl 8
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;[libstdc++.so.6.0.28] 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;_int_free 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;cfree@GLIBC_2.2.5 2
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;malloc 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;rocksdb::Arena::~Arena 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;rocksdb::PointLockTracker::~PointLockTracker 2
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;rocksdb::PointLockTracker::~PointLockTracker;std::_Hashtable<unsigned int, std::pair<unsigned int const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rocksdb::TrackedKeyInfo, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo> > > >, std::allocator<std::pair<unsigned int const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rocksdb::TrackedKeyInfo, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo> > > > >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::~_Hashtable;__memset_avx2_unaligned_erms 2
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;rocksdb::TransactionBaseImpl::SetSnapshotInternal 2
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;rocksdb::WriteBatch::~WriteBatch 2
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;rocksdb::WriteBatchWithIndex::~WriteBatchWithIndex 2
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;rocksdb::WriteBatchWithIndex::~WriteBatchWithIndex;[libstdc++.so.6.0.28] 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;rocksdb::WriteBatchWithIndex::~WriteBatchWithIndex;_int_free 2
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::TransactionBaseImpl::~TransactionBaseImpl;rocksdb::WriteBatchWithIndex::~WriteBatchWithIndex;rocksdb::WriteBatch::~WriteBatch 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxn::~WriteCommittedTxn;rocksdb::WriteBatchWithIndex::~WriteBatchWithIndex 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxnDB::BeginTransaction;rocksdb::WriteCommittedTxn::WriteCommittedTxn;rocksdb::PessimisticTransaction::Initialize 2
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxnDB::BeginTransaction;rocksdb::WriteCommittedTxn::WriteCommittedTxn;rocksdb::PessimisticTransaction::PessimisticTransaction 7
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxnDB::BeginTransaction;rocksdb::WriteCommittedTxn::WriteCommittedTxn;rocksdb::PessimisticTransaction::PessimisticTransaction;rocksdb::ColumnFamilyHandleImpl::GetComparator 2
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxnDB::BeginTransaction;rocksdb::WriteCommittedTxn::WriteCommittedTxn;rocksdb::PessimisticTransaction::PessimisticTransaction;rocksdb::DBImpl::DefaultColumnFamily 4
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxnDB::BeginTransaction;rocksdb::WriteCommittedTxn::WriteCommittedTxn;rocksdb::PessimisticTransaction::PessimisticTransaction;rocksdb::DBImpl::GetSystemClock 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxnDB::BeginTransaction;rocksdb::WriteCommittedTxn::WriteCommittedTxn;rocksdb::PessimisticTransaction::PessimisticTransaction;rocksdb::GetColumnFamilyUserComparator 4
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxnDB::BeginTransaction;rocksdb::WriteCommittedTxn::WriteCommittedTxn;rocksdb::PessimisticTransaction::PessimisticTransaction;rocksdb::PessimisticTransaction::Initialize 11
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxnDB::BeginTransaction;rocksdb::WriteCommittedTxn::WriteCommittedTxn;rocksdb::PessimisticTransaction::PessimisticTransaction;rocksdb::PointLockTrackerFactory::Create 1
my_transaction_;[unknown];[unknown];action;rocksdb::WriteCommittedTxnDB::BeginTransaction;rocksdb::WriteCommittedTxn::WriteCommittedTxn;rocksdb::PessimisticTransaction::PessimisticTransaction;rocksdb::TransactionBaseImpl::TransactionBaseImpl 5
